t,mid,spread,obi,depth,volatility,intensity,queue,pup,pred,has_pred,real
0,2990.1,0.2,0.6476,209.3,0.0,0.0,0.59,0.5,0,0,1
1,2990.1,0.2,0.1364,236.2,0.0,0.0,2.9,0.5,0,0,1
2,2990.1,0.2,0.1364,236.2,0.0,0.0,2.9,0.5,0,0,1
3,2990.1,0.2,0.1364,236.2,0.0,0.0,2.9,0.5,0,0,1
4,2990.05,0.1001,0.0171,1478.0,0.074,0.0,2.45,0.5,0,0,1
5,2989.75,0.1001,0.145,2998.5,0.389,2.9,2.68,0.5,0,0,1
6,2989.45,0.1001,0.8619,1908.4,0.456,7.09,166.42,0.5,0,0,1
7,2989.35,0.0999,0.8087,2574.9,0.422,9.43,152.8,0.5,0,0,1
8,2989.25,0.1001,0.753,3548.2,0.395,11.34,454.5,0.5,0,0,1
9,2989.25,0.1001,0.6434,4767.9,0.389,12.19,379.92,0.5,0,0,1
10,2989.25,0.1001,0.6904,4866.2,0.381,18.5,409.54,0.5,0,0,1
11,2989.85,0.0999,0.1581,5353.8,0.751,34.72,161.81,0.5,0,0,1
12,2990.05,0.1001,0.3198,7416.4,0.748,58.34,329.46,0.5,0,0,1
13,2990.45,0.1001,0.1709,5738.8,0.805,95.07,96.1,0.5,0,0,1
14,2990.8,0.2,0.2033,4866.9,0.823,134.03,60.02,0.5,0,0,1
15,2991.05,0.1001,0.1456,4054.5,0.813,134.21,1.5,0.5,0,0,1
16,2991.25,0.1001,0.0428,4837.7,0.795,118.4,9.0,0.5,0,0,1
17,2991.35,0.0999,0.0537,4560.9,0.771,108.18,0.03,0.5,0,0,1
18,2991.35,0.0999,0.0796,4523.1,0.752,93.28,20.38,0.5,0,0,1
19,2991.35,0.0999,0.1298,4605.4,0.733,78.55,95.58,0.5,0,0,1
20,2991.35,0.0999,0.144,4115.5,0.716,70.29,272.38,0.5,0,0,1
21,2991.55,0.1001,0.1578,5329.5,0.721,79.48,66.46,0.5,0,0,1
22,2991.65,0.0999,0.1714,5313.0,0.72,87.91,10.88,0.5,0,0,1
23,2991.65,0.0999,0.1156,5036.4,0.72,72.7,10.13,0.5,0,0,1
24,2991.65,0.0999,0.1209,5606.3,0.715,60.79,10.13,0.5,0,0,1
25,2991.65,0.0999,0.1332,5860.3,0.657,51.04,10.78,0.5,0,0,1
26,2991.65,0.0999,0.0955,6067.8,0.59,41.79,10.78,0.5,0,0,1
27,2991.45,0.1001,0.3041,3069.0,0.614,44.55,316.44,0.5,0,0,1
28,2991.8,0.2,0.1876,4817.1,0.617,71.64,10.69,0.5,0,0,1
29,2991.85,0.0999,0.1882,4038.3,0.613,81.49,10.84,0.5,0,0,1
30,2991.95,0.1001,0.1844,3291.6,0.605,112.94,74.14,0.5,0,0,1
31,2992.45,0.1001,0.4393,1722.4,0.567,185.82,80.55,0.5,0,0,1
32,2993.15,0.0999,0.2908,2392.7,0.702,184.59,163.45,0.5,0,0,1
33,2993.45,0.1001,0.1969,2227.4,0.685,187.02,6.32,0.5,0,0,1
34,2993.75,0.1001,0.1178,6187.3,0.678,198.62,10.02,0.5,0,0,1
35,2994.05,0.1001,0.0724,5705.2,0.683,184.0,5.76,0.5,0,0,1
36,2994.0,0.2002,0.0247,6343.2,0.697,151.37,0.75,0.5,0,0,1
37,2993.65,0.0999,0.0898,4038.7,0.783,127.38,38.74,0.5,0,0,1
38,2993.65,0.0999,0.0969,4016.9,0.783,104.29,39.17,0.5,0,0,1
39,2993.35,0.0999,0.7031,730.8,0.836,99.16,164.96,0.5,0,0,1
40,2993.35,0.0999,0.9197,915.1,0.836,81.73,281.45,0.5,0,0,1
41,2993.65,0.0999,0.1882,4481.8,0.846,79.42,0.24,0.5,0,0,1
42,2993.65,0.0999,0.3907,6208.0,0.849,65.03,1305.24,0.5,0,0,1
43,2994.05,0.1001,0.2218,6789.3,0.872,96.74,196.08,0.5,0,0,-1
44,2994.15,0.0999,0.237,2043.8,0.868,135.22,0.33,0.5,0,0,0
45,2994.15,0.0999,0.4836,1186.2,0.868,129.38,26.21,0.5,0,0,-1
46,2994.85,0.0999,0.0142,13398.1,0.956,157.59,15.1,0.5,0,0,0
47,2994.85,0.0999,0.0508,13236.5,0.925,134.28,31.73,0.5,0,0,0
48,2994.85,0.0999,0.0489,12552.1,0.922,117.19,149.49,0.5,0,0,0
49,2995.05,0.1001,0.0713,11456.9,0.919,135.28,250.34,0.5,0,0,0
50,2995.05,0.1001,0.0748,11220.9,0.925,121.64,254.5,0.5,0,0,0
51,2995.05,0.1001,0.0864,10907.3,0.892,122.61,273.72,0.5,0,0,0
52,2995.05,0.1001,0.0679,9635.9,0.781,110.17,138.99,0.5,0,0,0
53,2995.05,0.1001,0.1108,8647.9,0.768,100.17,274.94,0.5,0,0,0
54,2995.05,0.1001,0.2273,3411.1,0.751,159.05,209.92,0.5,0,0,0
55,2996.4,0.2,0.7119,708.5,1.193,238.08,7.73,0.5,0,0,0
56,2996.75,0.1001,0.64,483.8,1.197,209.6,77.85,0.5,0,0,0
57,2996.35,0.0999,0.4579,838.8,1.209,182.12,27.79,0.5,0,0,0
58,2995.85,0.0999,0.5048,237.6,1.292,168.69,22.65,0.5,0,0,0
59,2996.35,0.0999,0.2436,584.1,1.281,151.34,51.53,0.5,0,0,0
60,2996.55,0.1001,0.2952,1018.4,1.277,128.62,33.77,0.5119,1,1,0
61,2996.15,0.0999,0.0328,1926.8,1.334,115.46,10.87,0.5251,1,1,0
62,2995.25,0.1001,0.8131,944.8,1.528,110.48,520.96,0.4894,0,1,0
63,2995.05,0.1001,0.7175,779.4,1.52,124.71,89.46,0.441,0,1,0
64,2994.95,0.3,0.9141,1458.9,1.523,104.64,2.9,0.4629,0,1,0
65,2995.15,0.0999,0.945,2086.9,1.527,86.4,712.38,0.4765,0,1,0
66,2996.05,0.1001,0.3971,974.6,1.581,91.58,12.4,0.4634,0,1,0
67,2996.45,0.1001,0.3776,2896.6,1.599,80.6,262.2,0.5264,1,1,0
68,2996.45,0.1001,0.074,2544.1,1.599,65.99,84.08,0.5298,1,1,0
69,2995.65,0.0999,0.2131,1327.7,1.718,75.6,62.8,0.5099,1,1,0
70,2994.7,0.2,0.6678,969.1,1.86,124.25,141.35,0.4699,0,1,0
71,2994.35,0.0999,0.7817,950.0,1.876,127.11,52.24,0.451,0,1,0
72,2994.25,0.1001,0.8383,935.8,1.876,106.97,219.6,0.4739,0,1,0
73,2994.25,0.1001,0.484,1541.8,1.876,87.58,209.37,0.4961,0,1,0
74,2993.75,0.1001,0.7805,757.3,1.905,128.08,28.81,0.5033,1,1,0
75,2993.85,0.0999,0.4923,1158.9,1.576,107.04,63.75,0.4955,0,1,0
76,2994.2,0.2,0.2578,1150.6,1.577,104.13,45.31,0.5048,1,1,0
77,2993.95,0.1001,0.4179,993.5,1.566,91.6,20.7,0.5333,1,1,0
78,2994.25,0.1001,0.1909,1067.5,1.566,77.89,2.32,0.5078,1,1,0
79,2994.15,0.0999,0.1841,817.0,1.502,71.93,3.06,0.5229,1,1,0
80,2994.05,0.1001,0.5869,1119.3,1.483,59.44,136.88,0.5188,1,1,0
81,2994.45,0.1001,0.6318,1484.7,1.514,61.35,58.81,0.5111,1,1,0
82,2994.45,0.1001,0.5612,1576.6,1.38,50.41,145.82,0.5346,1,1,0
83,2994.45,0.1001,0.6947,2265.3,1.375,41.27,585.03,0.5228,1,1,0
84,2994.65,0.0999,0.6773,1531.0,1.383,52.46,15.0,0.514,1,1,0
85,2994.85,0.0999,0.414,1102.4,1.383,52.92,8.33,0.5246,1,1,0
86,2994.65,0.0999,0.3573,1412.8,1.197,45.5,23.43,0.5291,1,1,0
87,2994.55,0.1001,0.5997,1426.5,1.142,39.61,21.08,0.5032,1,1,0
88,2994.45,0.1001,0.7625,1284.1,1.139,38.6,380.16,0.496,0,1,0
89,2994.45,0.1001,0.7637,1401.1,1.006,38.31,334.99,0.4987,0,1,0
90,2994.45,0.1001,0.8004,1252.0,0.742,39.34,252.57,0.5035,1,1,0
91,2994.45,0.1001,0.7896,1272.8,0.695,33.48,102.22,0.5108,1,1,0
92,2994.45,0.1001,0.8193,963.3,0.69,27.59,102.21,0.5121,1,1,0
93,2994.45,0.1001,0.7912,1032.0,0.69,25.31,50.11,0.5121,1,1,0
94,2994.15,0.0999,0.5408,1667.8,0.619,37.03,262.61,0.5124,1,1,0
95,2993.65,0.3,0.7896,2849.1,0.722,98.66,149.43,0.4877,0,1,0
96,2993.55,0.3,0.8806,2624.0,0.668,92.92,277.78,0.4528,0,1,0
97,2993.45,0.1001,0.7922,2801.3,0.65,81.15,195.96,0.4142,0,1,0
98,2993.25,0.1001,0.6915,2529.2,0.611,107.23,430.07,0.3933,0,1,0
99,2993.1,0.2,0.4815,1534.6,0.614,144.89,1.82,0.4117,0,1,-1
100,2992.55,0.1001,0.7502,1356.0,0.713,155.24,392.12,0.4359,0,1,1
101,2992.55,0.1001,0.6573,1088.8,0.617,142.15,90.36,0.4403,0,1,1
102,2992.55,0.1001,0.4577,1583.4,0.617,119.64,55.97,0.4709,0,1,1
103,2992.15,0.0999,0.7323,1468.6,0.651,134.75,24.69,0.4977,0,1,1
104,2992.05,0.1001,0.9616,1167.0,0.605,119.57,135.41,0.4856,0,1,1
105,2992.05,0.1001,0.6931,1545.0,0.56,103.15,50.86,0.4816,0,1,1
106,2991.95,0.1001,0.7695,1561.1,0.559,87.72,29.74,0.4913,0,1,1
107,2991.85,0.0999,0.9361,2148.1,0.559,73.45,493.7,0.4951,0,1,1
108,2991.85,0.0999,0.9369,2174.0,0.567,60.13,505.41,0.4895,0,1,1
109,2991.85,0.0999,0.9377,2214.4,0.567,49.23,513.36,0.4916,0,1,1
110,2991.85,0.0999,0.9377,2214.1,0.567,40.31,500.78,0.4933,0,1,1
111,2991.85,0.0999,0.9367,2224.5,0.567,33.0,509.05,0.4942,0,1,1
112,2991.85,0.0999,0.9114,2109.4,0.567,27.75,280.19,0.4956,0,1,1
113,2991.85,0.0999,0.9056,2124.4,0.567,22.72,284.84,0.4979,0,1,1
114,2991.85,0.0999,0.9041,2106.1,0.559,18.6,284.5,0.5018,1,1,1
115,2991.85,0.0999,0.9172,1951.9,0.48,24.65,163.24,0.5063,1,1,1
116,2991.85,0.0999,0.9159,1988.6,0.484,22.0,148.19,0.5058,1,1,1
117,2991.85,0.0999,0.9229,2208.2,0.488,18.19,409.37,0.5049,1,1,1
118,2991.85,0.0999,0.8909,2198.0,0.482,15.8,202.58,0.5062,1,1,1
119,2991.75,0.1001,0.625,2257.4,0.479,31.43,528.68,0.5074,1,1,1
120,2991.75,0.1001,0.7307,2030.6,0.308,59.44,63.01,0.5027,1,1,1
121,2991.75,0.1001,0.7941,2449.1,0.308,49.94,33.58,0.5034,1,1,1
122,2991.65,0.0999,0.8652,3507.7,0.309,42.7,231.17,0.4988,0,1,1
123,2991.65,0.0999,0.7982,3801.6,0.145,34.96,232.82,0.4876,0,1,1
124,2991.55,0.1001,0.6657,4401.9,0.145,45.12,496.14,0.4885,0,1,1
125,2991.55,0.1001,0.7745,4583.8,0.145,52.71,274.63,0.4851,0,1,1
126,2991.65,0.0999,0.8244,5102.6,0.159,50.41,421.64,0.4842,0,1,1
127,2991.85,0.0999,0.6392,4507.3,0.211,60.12,132.08,0.494,0,1,1
128,2992.35,0.0999,0.1379,2634.1,0.422,124.27,33.2,0.5199,1,1,1
129,2993.6,0.2,0.2796,1925.3,0.986,177.69,65.96,0.5813,1,1,1
130,2994.45,0.1001,0.1921,1333.7,1.127,192.98,7.97,0.6386,1,1,-1
131,2994.65,0.0999,0.2662,1802.6,1.124,183.55,27.7,0.6099,1,1,-1
132,2994.25,0.1001,0.6894,1950.2,1.187,158.62,525.46,0.5507,1,1,-1
133,2994.65,0.0999,0.406,1513.9,1.2,140.92,113.36,0.4842,0,1,-1
134,2994.85,0.0999,0.5606,2065.1,1.196,131.51,424.4,0.5071,1,1,-1
135,2995.15,0.0999,0.2727,2042.1,1.195,136.86,28.2,0.5112,1,1,0
136,2994.95,0.1001,0.4922,1920.7,1.219,119.48,129.42,0.5172,1,1,0
137,2994.95,0.1001,0.4082,1644.2,1.219,98.91,41.0,0.4949,0,1,-1
138,2994.75,0.1001,0.842,1004.9,1.242,98.93,47.77,0.4962,0,1,-1
139,2994.95,0.1001,0.3727,1319.5,1.228,85.89,41.39,0.4872,0,1,-1
140,2994.65,0.0999,0.5063,1239.2,1.268,81.74,53.47,0.5012,1,1,-1
141,2994.5,0.2002,0.7038,1421.6,1.282,81.42,107.12,0.4912,0,1,-1
142,2994.45,0.3,0.7116,1517.8,1.278,68.84,98.85,0.4877,0,1,-1
143,2994.15,0.0999,0.5565,1092.9,1.314,87.54,13.28,0.4919,0,1,-1
144,2994.05,0.1001,0.9074,786.0,1.314,80.37,68.51,0.4715,0,1,-1
145,2993.95,0.1001,0.7731,698.7,1.322,82.66,55.27,0.4844,0,1,-1
146,2993.85,0.0999,0.9143,1990.6,1.331,77.65,291.41,0.4904,0,1,-1
147,2994.25,0.1001,0.7106,1100.5,1.347,66.11,169.33,0.493,0,1,-1
148,2994.65,0.0999,0.3712,1660.6,1.332,67.36,131.61,0.5126,1,1,0
149,2994.85,0.0999,0.3276,2462.8,1.014,74.0,155.06,0.5325,1,1,0
150,2995.0,0.2002,0.2619,2654.7,0.822,84.88,111.9,0.5311,1,1,0
151,2994.85,0.0999,0.3054,2218.5,0.821,73.84,46.0,0.532,1,1,0
152,2994.55,0.1001,0.8645,809.0,0.796,88.01,7.86,0.5144,1,1,0
153,2994.25,0.1001,0.5093,1283.5,0.769,93.81,120.14,0.4864,0,1,0
154,2994.05,0.1001,0.7227,971.2,0.761,111.24,96.97,0.4761,0,1,0
155,2993.95,0.3,0.7801,1422.0,0.715,97.06,46.38,0.4795,0,1,0
156,2993.95,0.3,0.7807,1402.1,0.708,80.37,38.08,0.4759,0,1,0
157,2993.95,0.3,0.8618,2109.6,0.708,65.8,38.08,0.444,0,1,0
158,2994.35,0.0999,0.4522,1177.7,0.769,59.68,213.5,0.4143,0,1,0
159,2994.45,0.1001,0.4341,1214.8,0.757,49.58,330.24,0.4654,0,1,0
160,2994.55,0.1001,0.4934,812.8,0.731,59.09,42.52,0.4977,0,1,0
161,2994.55,0.1001,0.4342,988.0,0.723,52.0,14.38,0.4978,0,1,0
162,2994.45,0.1001,0.3975,1173.3,0.726,46.2,150.96,0.4974,0,1,0
163,2994.45,0.1001,0.6909,1199.8,0.689,37.83,397.44,0.4916,0,1,0
164,2994.45,0.1001,0.566,1163.5,0.683,32.06,46.43,0.5005,1,1,0
165,2994.45,0.1001,0.5507,1218.0,0.677,30.6,8.1,0.5062,1,1,0
166,2994.45,0.1001,0.5894,900.1,0.671,32.48,8.75,0.5077,1,1,0
167,2994.65,0.0999,0.4073,1298.0,0.624,43.27,9.76,0.5064,1,1,0
168,2994.55,0.1001,0.6472,1358.0,0.556,41.23,84.51,0.5286,1,1,0
169,2994.75,0.1001,0.4254,1471.8,0.556,54.78,11.62,0.5065,1,1,0
170,2994.75,0.1001,0.2821,1586.7,0.543,62.43,21.37,0.5258,1,1,0
171,2994.65,0.0999,0.4448,1410.0,0.537,52.93,18.03,0.5247,1,1,0
172,2994.65,0.0999,0.3701,1875.8,0.489,57.66,130.72,0.5021,1,1,0
173,2994.55,0.1001,0.4221,1463.7,0.439,52.64,25.0,0.5023,1,1,0
174,2994.35,0.0999,0.7196,1077.1,0.439,48.54,170.62,0.4953,0,1,0
175,2994.05,0.1001,0.8887,1099.5,0.489,72.73,27.54,0.4747,0,1,0
176,2993.95,0.1001,0.8741,1360.6,0.495,64.62,6.97,0.4532,0,1,0
177,2993.85,0.0999,0.9166,1900.4,0.5,55.45,371.21,0.451,0,1,0
178,2993.85,0.0999,0.9124,1934.4,0.393,45.4,366.71,0.4554,0,1,0
179,2993.85,0.0999,0.9076,1882.2,0.382,37.17,254.23,0.4662,0,1,0
180,2993.85,0.0999,0.8765,2028.1,0.37,30.43,180.08,0.476,0,1,0
181,2993.75,0.1001,0.4579,2533.5,0.372,34.52,67.61,0.4804,0,1,0
182,2993.65,0.0999,0.457,2016.2,0.372,55.45,137.46,0.4854,0,1,0
183,2993.4,0.2,0.6051,2086.8,0.401,78.76,184.66,0.4891,0,1,0
184,2993.25,0.1001,0.7653,1726.7,0.404,75.72,137.53,0.4697,0,1,0
185,2993.25,0.1001,0.691,1886.1,0.404,61.99,137.52,0.4657,0,1,0
186,2993.15,0.0999,0.881,2324.0,0.402,67.79,237.4,0.4802,0,1,0
187,2993.35,0.0999,0.9164,2528.5,0.402,56.59,219.19,0.4762,0,1,0
188,2993.35,0.0999,0.7181,1935.6,0.404,46.33,52.49,0.4923,0,1,0
189,2993.15,0.0999,0.7322,2412.8,0.364,52.98,113.98,0.4944,0,1,0
190,2993.05,0.1001,0.8833,2763.4,0.359,47.91,433.57,0.4793,0,1,0
191,2993.05,0.1001,0.8306,2781.7,0.364,39.22,291.56,0.4756,0,1,0
192,2993.05,0.1001,0.8207,2719.8,0.364,32.11,309.2,0.4838,0,1,0
193,2993.05,0.1001,0.6183,3408.0,0.368,26.29,291.45,0.4889,0,1,0
194,2993.05,0.1001,0.6211,3372.7,0.359,21.71,284.82,0.4989,0,1,0
195,2993.05,0.1001,0.5281,3964.4,0.312,17.77,284.82,0.508,1,1,0
196,2992.95,0.1001,0.6009,3560.1,0.312,41.02,836.87,0.5172,1,1,0
197,2992.95,0.1001,0.4081,3621.4,0.312,57.51,205.41,0.5065,1,1,0
198,2992.85,0.0999,0.4317,2919.2,0.312,62.31,103.54,0.5145,1,1,0
199,2992.85,0.0999,0.3928,2947.7,0.312,58.81,23.73,0.5035,1,1,0
200,2992.65,0.0999,0.529,2947.4,0.328,70.99,293.5,0.5072,1,1,0
201,2992.65,0.0999,0.5272,2688.7,0.329,61.57,127.22,0.4899,0,1,0
202,2992.55,0.1001,0.697,2141.4,0.329,60.19,321.56,0.4956,0,1,0
203,2992.55,0.1001,0.6031,2392.7,0.295,55.81,228.62,0.4891,0,1,0
204,2992.55,0.1001,0.6451,2564.4,0.285,45.69,228.62,0.4926,0,1,0
205,2992.25,0.1001,0.764,3028.9,0.342,55.72,532.54,0.4987,0,1,0
206,2992.0,0.2002,0.5821,2546.9,0.371,121.39,366.06,0.466,0,1,0
207,2991.55,0.3,0.9417,4961.1,0.419,138.18,975.93,0.4539,0,1,0
208,2991.45,0.1001,0.9615,4093.3,0.413,125.46,239.77,0.3938,0,1,0
209,2991.45,0.1001,0.8883,4401.5,0.41,105.61,214.27,0.3561,0,1,0
210,2991.45,0.1001,0.9401,3966.5,0.415,96.26,33.02,0.3616,0,1,0
211,2991.45,0.1001,0.917,4065.3,0.415,79.17,31.94,0.3839,0,1,0
212,2991.4,0.2,0.8942,4693.7,0.411,67.72,725.02,0.4065,0,1,0
213,2991.35,0.0999,0.8752,4204.1,0.407,85.17,256.78,0.3894,0,1,0
214,2991.25,0.1001,0.7283,4120.7,0.402,92.03,980.57,0.3883,0,1,0
215,2991.25,0.1001,0.7876,3644.4,0.402,78.97,849.77,0.3952,0,1,0
216,2991.25,0.1001,0.8554,3829.1,0.407,64.84,849.76,0.4191,0,1,0
217,2991.25,0.1001,0.8791,3905.6,0.407,53.09,849.76,0.4344,0,1,0
218,2991.25,0.1001,0.8792,3916.7,0.411,43.46,849.76,0.448,0,1,0
219,2991.25,0.1001,0.8583,3868.6,0.411,35.58,849.76,0.4592,0,1,0
220,2991.25,0.1001,0.7796,3523.5,0.404,35.12,691.47,0.4694,0,1,0
221,2991.15,0.0999,0.7028,2827.4,0.401,78.24,266.97,0.4787,0,1,0
222,2991.05,0.1001,0.7199,3093.6,0.401,69.31,710.45,0.4713,0,1,0
223,2991.05,0.1001,0.6905,2356.8,0.401,77.41,110.47,0.4703,0,1,0
224,2991.0,0.2002,0.702,2355.5,0.398,70.63,148.18,0.4784,0,1,0
225,2990.75,0.1001,0.9147,3189.8,0.383,78.13,333.14,0.4671,0,1,0
226,2990.6,0.2,0.878,4217.7,0.364,101.49,356.08,0.4477,0,1,0
227,2990.45,0.1001,0.9201,3811.1,0.229,131.13,608.07,0.4254,0,1,0
228,2990.4,0.2,0.8253,4412.8,0.226,127.66,636.17,0.4014,0,1,0
229,2990.35,0.0999,0.8451,3633.9,0.223,125.55,65.41,0.3805,0,1,0
230,2990.25,0.1001,0.8169,3481.6,0.221,113.3,489.39,0.378,0,1,0
231,2990.25,0.1001,0.7513,3177.4,0.221,100.38,32.42,0.3853,0,1,0
232,2990.15,0.0999,0.8027,3703.6,0.223,103.75,685.72,0.415,0,1,0
233,2989.95,0.1001,0.8812,3932.1,0.244,138.78,545.96,0.4265,0,1,0
234,2989.75,0.1001,0.9077,6037.4,0.261,143.54,344.82,0.4257,0,1,0
235,2989.6,0.2,0.9104,7317.6,0.259,127.12,1618.33,0.4248,0,1,0
236,2989.55,0.1001,0.8476,6082.9,0.253,113.14,112.14,0.3918,0,1,0
237,2989.45,0.1001,0.8994,6594.6,0.244,99.16,915.56,0.3802,0,1,0
238,2989.45,0.1001,0.9042,5844.7,0.244,85.9,266.12,0.3801,0,1,0
239,2989.35,0.0999,0.8785,5937.2,0.234,75.77,1244.51,0.4,0,1,0
240,2989.35,0.0999,0.8453,5031.4,0.234,66.93,291.6,0.4092,0,1,0
241,2989.25,0.1001,0.842,5637.4,0.234,60.78,1000.05,0.4279,0,1,0
242,2989.25,0.1001,0.7945,5577.6,0.244,53.57,684.76,0.4337,0,1,0
243,2989.25,0.1001,0.7475,5308.6,0.244,51.29,221.53,0.4502,0,1,0
244,2989.0,0.2002,0.8686,7957.4,0.269,119.39,715.26,0.4624,0,1,0
245,2988.6,0.2,0.9344,8838.6,0.331,194.91,3215.78,0.4053,0,1,0
246,2988.4,0.2,0.9359,5742.7,0.336,242.24,547.36,0.3228,0,1,0
247,2987.75,0.2998,0.9847,4690.6,0.52,351.14,872.02,0.2437,0,1,0
248,2987.5,0.7998,0.9672,3798.6,0.522,335.34,164.91,0.1903,0,1,0
249,2985.25,0.1001,0.997,7097.8,1.617,394.92,5467.44,0.1239,0,1,1
250,2984.55,0.7,0.9948,6947.5,1.644,407.98,4975.36,0.125,0,1,1
251,2984.25,0.1001,0.984,6171.5,1.63,357.96,4137.11,0.1177,0,1,1
252,2981.95,0.1001,0.562,1620.5,2.178,345.64,169.14,0.1123,0,1,1
253,2981.95,0.1001,0.6561,1400.4,2.194,283.53,169.12,0.1864,0,1,1
254,2982.65,0.0999,0.0691,603.1,2.334,241.74,7.58,0.2598,0,1,1
255,2982.65,0.0999,0.0979,617.2,2.343,199.01,10.36,0.3826,0,1,1
256,2982.95,0.1001,0.8504,2048.0,2.382,175.44,10.36,0.4434,0,1,1
257,2983.15,0.0999,0.7721,2200.0,2.408,150.71,153.61,0.4842,0,1,1
258,2983.45,0.1001,0.2155,2030.1,2.44,128.83,5.78,0.4974,0,1,1
259,2983.35,0.0999,0.2371,2674.2,2.44,113.81,81.72,0.5065,1,1,1
260,2982.95,0.1001,0.6898,3782.5,2.43,116.75,6.84,0.5132,1,1,1
261,2982.65,0.0999,0.8682,5255.2,2.424,135.46,746.66,0.5085,1,1,1
262,2982.35,0.0999,0.8952,4258.7,2.411,158.22,228.6,0.5096,1,1,1
263,2982.05,0.3,0.916,2568.1,2.397,197.33,260.09,0.5071,1,1,1
264,2981.5,0.2002,0.7399,4313.6,2.399,220.3,299.62,0.5005,1,1,1
265,2981.3,0.2,0.9378,4352.9,2.402,203.2,71.33,0.4918,0,1,1
266,2981.2,0.2,0.9552,4732.8,2.407,171.81,51.58,0.4993,0,1,1
267,2981.35,0.0999,0.8267,2911.1,2.424,143.93,45.71,0.4992,0,1,1
268,2981.35,0.0999,0.8227,3222.8,2.435,117.84,100.46,0.5077,1,1,1
269,2981.65,0.0999,0.5769,1385.1,1.959,113.15,129.59,0.5145,1,1,1
270,2981.75,0.1001,0.4898,747.9,1.927,107.32,12.22,0.5183,1,1,1
271,2982.55,0.1001,0.3049,1264.5,2.039,112.52,70.95,0.5193,1,1,1
272,2982.95,0.1001,0.7732,3747.7,1.154,134.0,1006.98,0.534,1,1,1
273,2983.7,0.2,0.1716,1678.1,1.262,174.42,1.28,0.5333,1,1,0
274,2984.15,0.0999,0.0655,3844.8,1.205,193.92,40.98,0.5427,1,1,0
275,2984.2,0.2,0.0515,4583.8,1.204,167.47,23.08,0.5464,1,1,0
276,2984.35,0.0999,0.1501,4713.5,1.194,176.99,91.32,0.5374,1,1,0
277,2984.65,0.0999,0.111,6308.2,1.202,188.78,115.75,0.5442,1,1,0
278,2984.85,0.3,0.1356,3150.5,1.193,237.94,6.4,0.5824,1,1,0
279,2985.9,0.2,0.0446,2612.6,1.382,319.7,0.06,0.6125,1,1,0
280,2986.65,0.0999,0.0079,10105.8,1.39,329.73,0.03,0.7075,1,1,0
281,2986.85,0.0999,0.0107,11318.7,1.34,298.06,98.31,0.7067,1,1,0
282,2986.85,0.0999,0.1043,10683.3,1.293,255.63,185.41,0.6649,1,1,0
283,2986.85,0.0999,0.1125,9948.3,1.242,217.99,17.98,0.6345,1,1,0
284,2986.85,0.0999,0.1472,7834.1,1.103,216.72,108.25,0.6356,1,1,0
285,2986.95,0.1001,0.1069,7335.8,1.051,221.12,6.1,0.6331,1,1,0
286,2987.15,0.0999,0.205,5365.4,1.012,235.78,206.64,0.6521,1,1,0
287,2987.35,0.0999,0.1884,3309.1,1.009,208.09,2.76,0.6642,1,1,0
288,2987.35,0.0999,0.2415,2951.8,1.009,176.53,87.8,0.6569,1,1,0
289,2987.35,0.0999,0.1602,2621.2,1.032,149.25,61.02,0.6069,1,1,0
290,2987.15,0.0999,0.2517,2542.3,1.085,124.91,169.3,0.5759,1,1,0
291,2987.35,0.0999,0.3477,3092.2,1.006,122.21,36.21,0.5179,1,1,0
292,2987.35,0.0999,0.4591,2066.4,1.012,130.51,107.58,0.5498,1,1,0
293,2987.35,0.0999,0.5305,2155.9,0.937,110.11,85.34,0.5266,1,1,0
294,2987.35,0.0999,0.4324,1671.8,0.922,97.22,77.47,0.4968,0,1,0
295,2987.6,0.2,0.4221,1240.6,0.921,108.78,5.33,0.4924,0,1,0
296,2987.4,0.2,0.658,1076.6,0.959,98.13,167.36,0.5323,1,1,0
297,2986.85,0.0999,0.6076,1226.2,1.079,102.27,200.97,0.4889,0,1,0
298,2986.75,0.1001,0.3759,1103.1,1.088,120.71,133.85,0.4509,0,1,0
299,2986.75,0.1001,0.3432,888.3,0.803,106.63,13.49,0.48,0,1,0
300,2986.65,0.0999,0.2798,921.0,0.597,92.74,32.65,0.5061,1,1,0
301,2986.25,0.1001,0.1731,3029.2,0.642,85.9,63.16,0.5073,1,1,0
302,2985.15,0.0999,0.3467,1836.8,1.009,177.27,29.92,0.4857,0,1,0
303,2982.85,0.0999,0.7686,1996.2,1.904,233.06,905.7,0.4395,0,1,0
304,2982.55,0.1001,0.546,786.5,1.899,255.34,72.17,0.4012,0,1,0
305,2982.55,0.1001,0.568,755.9,1.891,209.24,72.17,0.4656,0,1,0
306,2982.75,0.1001,0.2695,1993.1,1.891,173.12,21.16,0.506,1,1,0
307,2982.55,0.1001,0.2695,2340.9,1.864,146.82,103.03,0.5112,1,1,0
308,2982.55,0.1001,0.2244,2070.6,1.864,137.97,50.26,0.5094,1,1,0
309,2981.05,0.1001,0.9637,4987.0,2.067,213.2,1212.63,0.514,1,1,0
310,2981.05,0.1001,0.9239,4673.1,2.079,186.7,724.07,0.4726,0,1,0
311,2981.05,0.1001,0.9089,4904.3,2.057,155.03,528.19,0.4824,0,1,0
312,2981.05,0.1001,0.9087,6665.8,2.057,127.47,461.09,0.4995,0,1,0
