ts,mid,spread,obi,depth,volatility,trade_intensity,queue_at_best,hour
1764547249867476878,2995.05,0.100097656,0.071301006,11456.891,9.189160482492298e-05,135.28164972794008,250.3449,0
1764547250867476878,2995.05,0.100097656,0.07480475,11220.878,9.254184260498732e-05,121.63540177470922,254.49818,0
1764547251867476878,2995.05,0.100097656,0.086384244,10907.298,8.918588719097897e-05,122.60783845504689,273.72427,0
1764547252867476878,2995.05,0.100097656,0.06789028,9635.949,7.811452815076336e-05,110.17134724535305,138.98631,0
1764547253867476878,2995.05,0.100097656,0.110777214,8647.921,7.676574750803411e-05,100.17047867851474,274.94412,0
1764547254867476878,2995.05,0.100097656,0.22730353,3411.068,7.505960820708424e-05,159.05208138650002,209.91911,0
1764547255867476878,2996.4,0.19995117,0.7118564,708.5017,0.0001193199641420506,238.07603229079044,7.7279,0
1764547256867476878,2996.75,0.100097656,0.6400357,483.8149,0.00011973641812801361,209.60297820794025,77.845505,0
1764547257867476878,2996.35,0.099853516,0.45787123,838.78125,0.00012088772200513631,182.1220205170518,27.7881,0
1764547258867476878,2995.85,0.099853516,0.5048332,237.62543,0.00012918555876240134,168.68597767758746,22.6465,0
1764547259867476878,2996.35,0.099853516,0.24363472,584.05054,0.0001281464792555198,151.34105256297414,51.531994,0
1764547260867476878,2996.55,0.100097656,0.2952486,1018.3966,0.00012766740110237151,128.6205743564707,33.774002,0
1764547261867476878,2996.15,0.099853516,0.032756057,1926.7919,0.0001334176049567759,115.45669753182884,10.870301,0
1764547262867476878,2995.25,0.100097656,0.8130635,944.81213,0.00015277523198165,110.47964264726859,520.96216,0
1764547263867476878,2995.05,0.100097656,0.7174737,779.4144,0.00015200757479760796,124.71296869264597,89.462395,0
1764547264867476878,2994.9502,0.30004883,0.914103,1458.8531,0.0001523370447102934,104.64411223322905,2.9032936,0
1764547265867476878,2995.15,0.099853516,0.94504845,2086.926,0.0001527387648820877,86.40042980157654,712.3817,0
1764547266867476878,2996.05,0.100097656,0.39705274,974.5748,0.00015807968156877905,91.58465235373815,12.400009,0
1764547267867476878,2996.45,0.100097656,0.37755617,2896.609,0.0001599016395630315,80.60251804654375,262.19638,0
1764547268867476878,2996.45,0.100097656,0.074003994,2544.1316,0.0001599016395630315,65.99176030022838,84.08,0
1764547269867476878,2995.65,0.099853516,0.21310274,1327.7201,0.00017182462033815682,75.6005239912678,62.8019,0
1764547270867476878,2994.7002,0.19995117,0.6678328,969.09644,0.0001860175543697551,124.25309488163498,141.34789,0
1764547271867476878,2994.35,0.099853516,0.7816828,950.02625,0.00018758434453047812,127.10752451379348,52.240437,0
1764547272867476878,2994.25,0.100097656,0.83828515,935.822,0.00018762145191431046,106.96714721780846,219.59692,0
1764547273867476878,2994.25,0.100097656,0.48398262,1541.7622,0.00018762145191431046,87.57729299623966,209.36691,0
1764547274867476878,2993.75,0.100097656,0.7805483,757.258,0.00019053087453357875,128.07695884009001,28.807297,0
1764547275867476878,2993.85,0.099853516,0.49233413,1158.9055,0.0001576110371388495,107.0357759261488,63.749,0
1764547276867476878,2994.2002,0.19995117,0.25779268,1150.5928,0.00015765924763400108,104.12898290020559,45.314503,0
1764547277867476878,2993.95,0.100097656,0.41790748,993.51514,0.00015659524069633335,91.59802422940025,20.6978,0
1764547278867476878,2994.25,0.100097656,0.19094501,1067.4575,0.00015659524069633335,77.89442730854438,2.3235996,0
1764547279867476878,2994.15,0.099853516,0.18411656,817.0117,0.00015016677207313478,71.93167924239347,3.0616975,0
1764547280867476878,2994.05,0.100097656,0.58686614,1119.3215,0.00014829095744062215,59.436485657054696,136.87909,0
1764547281867476878,2994.45,0.100097656,0.63175434,1484.7188,0.00015141359472181648,61.35132594685033,58.806095,0
1764547282867476878,2994.45,0.100097656,0.5611985,1576.5758,0.00013798748841509223,50.41148654171952,145.81671,0
1764547283867476878,2994.45,0.100097656,0.6946567,2265.3318,0.0001374616549583152,41.27343434008257,585.0322,0
1764547284867476878,2994.65,0.099853516,0.67732006,1530.9503,0.00013834027049597353,52.46256241233831,14.9988,0
1764547285867476878,2994.85,0.099853516,0.4140278,1102.4214,0.00013834027049597353,52.92252181296537,8.3328,0
1764547286867476878,2994.65,0.099853516,0.35726517,1412.8486,0.00011969866318395361,45.504527101779274,23.4309,0
1764547287867476878,2994.55,0.100097656,0.5997304,1426.5115,0.00011416037887101993,39.612455952483415,21.077301,0
1764547288867476878,2994.45,0.100097656,0.76245594,1284.1008,0.00011392836313461885,38.59509028859375,380.16208,0
1764547289867476878,2994.45,0.100097656,0.7636571,1401.1262,0.00010063546505989507,38.30594947320773,334.98688,0
1764547290867476878,2994.45,0.100097656,0.8003536,1251.9846,7.415233267238364e-05,39.33810572413529,252.57451,0
1764547291867476878,2994.45,0.100097656,0.7895663,1272.8438,6.94651243975386e-05,33.476201652636675,102.2173,0
1764547292867476878,2994.45,0.100097656,0.8192681,963.32434,6.900246808072552e-05,27.58926503617562,102.21361,0
1764547293867476878,2994.45,0.100097656,0.79121614,1032.0369,6.900246808072552e-05,25.30721844376637,50.10512,0
1764547294867476878,2994.15,0.099853516,0.5408256,1667.8291,6.194039451656863e-05,37.03403023775547,262.60553,0
1764547295867476878,2993.65,0.30004883,0.7895918,2849.1174,7.21594988135621e-05,98.65940555567114,149.43062,0
1764547296867476878,2993.5498,0.30004883,0.88055813,2624.042,6.684053369099274e-05,92.92052895259587,277.77972,0
1764547297867476878,2993.45,0.100097656,0.79216766,2801.3198,6.495976413134485e-05,81.15243355957975,195.96204,0
1764547298867476878,2993.25,0.100097656,0.6914633,2529.1782,6.10928691457957e-05,107.22757359979971,430.0695,0
1764547299867476878,2993.1,0.19995117,0.4814621,1534.574,6.144090730231255e-05,144.89032486452447,1.8159959,0
1764547300867476878,2992.55,0.100097656,0.7502341,1356.0468,7.125222327886149e-05,155.24255266829323,392.11588,0
1764547301867476878,2992.55,0.100097656,0.65725917,1088.752,6.169902189867571e-05,142.14719955038748,90.355576,0
1764547302867476878,2992.55,0.100097656,0.4576841,1583.3887,6.169902189867571e-05,119.64313018041122,55.96808,0
1764547303867476878,2992.15,0.099853516,0.7323467,1468.5657,6.510956154670566e-05,134.7531671983848,24.68579,0
1764547304867476878,2992.05,0.100097656,0.96159416,1166.9666,6.0516238590935245e-05,119.57129365299971,135.4139,0
1764547305867476878,2992.05,0.100097656,0.6931227,1544.9877,5.602012970484793e-05,103.15350345976749,50.85928,0
1764547306867476878,2991.95,0.100097656,0.7694838,1561.1218,5.5897111451486126e-05,87.71779201484398,29.737183,0
1764547307867476878,2991.85,0.099853516,0.93612313,2148.1113,5.5897111451486126e-05,73.44867713694916,493.70056,0
1764547308867476878,2991.85,0.099853516,0.93688256,2173.9573,5.671474718837999e-05,60.13469074491593,505.40918,0
1764547309867476878,2991.85,0.099853516,0.9376957,2214.393,5.671474718837999e-05,49.23412063969656,513.35736,0
1764547310867476878,2991.85,0.099853516,0.9376864,2214.0637,5.671474718837999e-05,40.309488668470976,500.78033,0
1764547311867476878,2991.85,0.099853516,0.9367135,2224.527,5.671474718837999e-05,33.002618013725616,509.05258,0
1764547312867476878,2991.85,0.099853516,0.9114156,2109.4453,5.671474718837999e-05,27.745335287610615,280.19067,0
1764547313867476878,2991.85,0.099853516,0.9056169,2124.3523,5.671474718837999e-05,22.715959254426544,284.83588,0
1764547314867476878,2991.85,0.099853516,0.9040834,2106.066,5.590280852629803e-05,18.598254427265395,284.50177,0
1764547315867476878,2991.85,0.099853516,0.9171561,1951.8696,4.800258102477528e-05,24.65296369311585,163.24323,0
1764547316867476878,2991.85,0.099853516,0.915864,1988.6265,4.8437454097438604e-05,21.996831999289064,148.19362,0
1764547317867476878,2991.85,0.099853516,0.9229019,2208.1504,4.88114237668924e-05,18.190752075029803,409.3715,0
1764547318867476878,2991.85,0.099853516,0.89092433,2197.9824,4.8240723117487505e-05,15.799674380054102,202.57672,0
1764547319867476878,2991.75,0.100097656,0.6249513,2257.415,4.790187449543737e-05,31.425142489614444,528.6781,0
1764547320867476878,2991.75,0.100097656,0.730681,2030.6425,3.0779421649640426e-05,59.444810503600294,63.007835,0
1764547321867476878,2991.75,0.100097656,0.79409623,2449.1055,3.0779421649640426e-05,49.93817919864472,33.581833,0
1764547322867476878,2991.65,0.099853516,0.8652309,3507.707,3.091229154961184e-05,42.69861553186978,231.16986,0
1764547323867476878,2991.65,0.099853516,0.79822195,3801.5718,1.4453357835009228e-05,34.958669649794956,232.81895,0
1764547324867476878,2991.55,0.100097656,0.6657436,4401.8877,1.4453357835009228e-05,45.117239398884664,496.13824,0
1764547325867476878,2991.55,0.100097656,0.77446496,4583.75,1.4453357835009228e-05,52.70929587206401,274.62704,0
1764547326867476878,2991.65,0.099853516,0.8244054,5102.614,1.592057742527686e-05,50.40549138042585,421.63736,0
1764547327867476878,2991.85,0.099853516,0.6391677,4507.291,2.1110481611685827e-05,60.12052759705168,132.07674,0
1764547328867476878,2992.35,0.099853516,0.13791901,2634.0952,4.22356060880702e-05,124.26799306069523,33.2013,0
1764547329867476878,2993.6,0.19995117,0.27956507,1925.2686,9.859585406957194e-05,177.69384200239804,65.9647,0
1764547330867476878,2994.45,0.100097656,0.19214848,1333.6805,0.00011270577670075,192.97595577351203,7.9722743,0
1764547331867476878,2994.65,0.099853516,0.26616856,1802.6079,0.00011235784040763974,183.55431341239537,27.704998,0
1764547332867476878,2994.25,0.100097656,0.6894392,1950.2415,0.00011872478353325278,158.6199466092552,525.46155,0
1764547333867476878,2994.65,0.099853516,0.4060288,1513.8588,0.00012002872972516343,140.9244524028279,113.3593,0
1764547334867476878,2994.85,0.099853516,0.560601,2065.1392,0.00011960896517848596,131.51214601892912,424.40256,0
1764547335867476878,2995.15,0.099853516,0.2726888,2042.1245,0.0001195021322928369,136.8573871034243,28.204203,0
1764547336867476878,2994.95,0.100097656,0.49223453,1920.7183,0.00012190335110062733,119.48139073127419,129.4196,0
1764547337867476878,2994.95,0.100097656,0.40823728,1644.1749,0.00012190335110062733,98.91070449375283,41.001698,0
1764547338867476878,2994.75,0.100097656,0.8419792,1004.893,0.00012416846584528685,98.92689102292377,47.76741,0
1764547339867476878,2994.95,0.100097656,0.37271473,1319.4656,0.00012277922360226512,85.8887576537563,41.3923,0
1764547340867476878,2994.65,0.099853516,0.50630623,1239.2113,0.0001268317282665521,81.73972979087931,53.4705,0
1764547341867476878,2994.5,0.20019531,0.7037552,1421.5728,0.00012823165161535144,81.4243702818388,107.11879,0
1764547342867476878,2994.4502,0.30004883,0.711629,1517.7721,0.0001277779374504462,68.83986696281455,98.850105,0
1764547343867476878,2994.15,0.099853516,0.55647546,1092.886,0.00013142262469045818,87.53962659084037,13.283498,0
1764547344867476878,2994.05,0.100097656,0.9074271,786.0463,0.00013142262469045818,80.37230825514094,68.514694,0
1764547345867476878,2993.95,0.100097656,0.7731327,698.6938,0.00013215237413533032,82.66132042809492,55.27048,0
1764547346867476878,2993.85,0.099853516,0.91431886,1990.5518,0.00013311956718098372,77.64717370522553,291.41263,0
1764547347867476878,2994.25,0.100097656,0.71056855,1100.5454,0.00013465782103594393,66.10989845896442,169.33011,0
1764547348867476878,2994.65,0.099853516,0.37123042,1660.5747,0.00013322966697160155,67.35886197652418,131.61322,0
1764547349867476878,2994.85,0.099853516,0.32764548,2462.7988,0.00010143045801669359,74.00077347240537,155.06339,0
1764547350867476878,2995.0,0.20019531,0.26185632,2654.7048,8.218342554755509e-05,84.87678808096602,111.9033,0
1764547351867476878,2994.85,0.099853516,0.3053729,2218.5103,8.205229823943228e-05,73.84169855049801,45.997196,0
1764547352867476878,2994.55,0.100097656,0.86449677,808.97955,7.95531741459854e-05,88.00939499495331,7.8603005,0
1764547353867476878,2994.25,0.100097656,0.5092877,1283.4656,7.693675433984026e-05,93.80830787279788,120.136215,0
1764547354867476878,2994.05,0.100097656,0.7226702,971.23474,7.606292638229206e-05,111.24490346485044,96.97274,0
1764547355867476878,2993.9502,0.30004883,0.78005177,1421.9766,7.153383921831846e-05,97.06150873829098,46.380455,0
1764547356867476878,2993.9502,0.30004883,0.7807381,1402.127,7.082949741743505e-05,80.37358837879619,38.075363,0
1764547357867476878,2993.9502,0.30004883,0.8617877,2109.5684,7.082949741743505e-05,65.80432854095153,38.075363,0
1764547358867476878,2994.35,0.099853516,0.4521568,1177.7458,7.693675433984026e-05,59.676643363628756,213.49649,0
1764547359867476878,2994.45,0.100097656,0.43408027,1214.8066,7.567745342385024e-05,49.58418014995799,330.2378,0
1764547360867476878,2994.55,0.100097656,0.49339026,812.77014,7.313187961699441e-05,59.08555634097527,42.52011,0
1764547361867476878,2994.55,0.100097656,0.43424052,987.9797,7.230100891320035e-05,52.000546977518574,14.380499,0
1764547362867476878,2994.45,0.100097656,0.3975482,1173.2524,7.258833647938445e-05,46.19983192581112,150.9578,0
1764547363867476878,2994.45,0.100097656,0.69087034,1199.7579,6.88668224029243e-05,37.825223184695524,397.43988,0
1764547364867476878,2994.45,0.100097656,0.5659726,1163.4685,6.831863720435649e-05,32.05628894488061,46.434204,0
1764547365867476878,2994.45,0.100097656,0.5506847,1217.9583,6.772489723516628e-05,30.595931514855923,8.0983,0
1764547366867476878,2994.45,0.100097656,0.5894104,900.1498,6.708439468638971e-05,32.481869174083094,8.745299,0
1764547367867476878,2994.65,0.099853516,0.40727353,1298.0471,6.235017644939944e-05,43.270675927103206,9.7589,0
1764547368867476878,2994.55,0.100097656,0.6472239,1358.0378,5.562126898439601e-05,41.227648989495094,84.5087,0
1764547369867476878,2994.75,0.100097656,0.42535037,1471.8169,5.562126898439601e-05,54.78157674775812,11.621201,0
1764547370867476878,2994.75,0.100097656,0.282057,1586.7278,5.432462421595119e-05,62.43447853692703,21.3657,0
1764547371867476878,2994.65,0.099853516,0.44476134,1410.0037,5.371777297114022e-05,52.92972009978954,18.026299,0
1764547372867476878,2994.65,0.099853516,0.37005556,1875.8424,4.89141748403199e-05,57.655460104346915,130.7217,0
1764547373867476878,2994.55,0.100097656,0.42210254,1463.6826,4.387096123537049e-05,52.64237567795003,25.002598,0
1764547374867476878,2994.35,0.099853516,0.71959716,1077.0955,4.387096123537049e-05,48.5380092902826,170.61867,0
1764547375867476878,2994.05,0.100097656,0.8887109,1099.541,4.89141748403199e-05,72.73056383894647,27.5421,0
1764547376867476878,2993.95,0.100097656,0.8741277,1360.5687,4.950846778228879e-05,64.62228821746338,6.9743004,0
