seed,episode,start_local,start_idx_abs,static_bps,sizeaware_bps,vwap_bps,static_vs_vwap,sizeaware_vs_vwap,sizeaware_vs_static
1000,74,18956,79435,3.141,23.69,28.973,-25.831,-5.282,20.549
1000,75,20894,81373,41.13,46.755,48.379,-7.249,-1.624,5.625
1000,76,14949,75428,21.034,25.604,25.759,-4.725,-0.155,4.57
1000,77,245,60724,56.534,44.98,45.573,10.961,-0.592,-11.554
1000,78,5171,65650,35.761,29.121,36.578,-0.818,-7.457,-6.639
1000,79,11742,72221,24.357,22.464,24.201,0.156,-1.737,-1.893
1000,80,14581,75060,173.05,38.383,45.421,127.629,-7.038,-134.668
1000,81,14447,74926,172.242,41.981,41.511,130.731,0.47,-130.261
1000,82,19388,79867,48.948,39.833,54.839,-5.891,-15.006,-9.115
1000,83,74,60553,107.144,85.963,53.376,53.768,32.587,-21.181
1000,84,5681,66160,123.867,44.316,48.774,75.094,-4.457,-79.551
1000,85,7699,68178,48.55,30.623,32.618,15.932,-1.996,-17.927
1000,86,226,60705,54.804,39.223,44.328,10.477,-5.105,-15.582
1000,87,1391,61870,23.741,40.753,31.932,-8.191,8.82,17.012
1000,88,18444,78923,26.24,33.287,31.889,-5.648,1.398,7.047
1000,89,14679,75158,75.475,47.813,45.163,30.312,2.65,-27.663
1000,90,17450,77929,42.662,41.193,40.88,1.782,0.313,-1.469
1000,91,24321,84800,57.928,46.155,64.472,-6.543,-18.317,-11.774
1000,92,22222,82701,27.197,34.353,36.935,-9.738,-2.583,7.156
1000,93,18728,79207,56.852,42.541,35.735,21.116,6.805,-14.311
1000,94,12569,73048,29.706,35.867,38.007,-8.301,-2.139,6.162
1000,95,22145,82624,30.704,37.545,32.71,-2.006,4.835,6.841
1000,96,9683,70162,107.601,47.026,47.866,59.735,-0.84,-60.575
1000,97,14075,74554,54.98,53.583,65.011,-10.032,-11.428,-1.396
1000,98,4295,64774,57.076,33.334,30.576,26.5,2.759,-23.742
1000,99,9817,70296,94.393,43.685,41.473,52.92,2.212,-50.708
1000,100,20535,81014,63.831,48.488,56.346,7.485,-7.859,-15.343
1000,101,15629,76108,87.661,131.725,55.666,31.995,76.059,44.065
1000,102,25613,86092,40.208,32.562,30.553,9.655,2.009,-7.646
1000,103,18996,79475,76.052,26.046,45.042,31.01,-18.996,-50.007
1000,104,3604,64083,28.749,40.721,37.952,-9.203,2.769,11.972
1000,105,25559,86038,29.226,36.388,29.694,-0.468,6.694,7.162
1000,106,8782,69261,74.147,49.129,46.626,27.52,2.503,-25.018
1000,107,23072,83551,27.528,30.574,39.594,-12.066,-9.02,3.046
1000,108,24163,84642,107.746,58.473,59.004,48.741,-0.531,-49.273
1000,109,13437,73916,77.888,42.029,42.774,35.113,-0.745,-35.859
1000,110,9415,69894,67.51,53.86,49.849,17.661,4.01,-13.65
1000,111,5384,65863,82.793,51.401,50.983,31.811,0.418,-31.392
1000,112,8241,68720,38.142,40.355,35.667,2.475,4.689,2.214
1000,113,7730,68209,6.705,34.796,26.575,-19.87,8.221,28.091
1000,114,3979,64458,46.188,37.646,41.056,5.132,-3.409,-8.541
1000,115,21605,82084,84.815,50.103,52.268,32.547,-2.165,-34.712
1000,116,1060,61539,29.9,37.425,38.582,-8.682,-1.158,7.524
1000,117,4771,65250,80.401,36.753,30.649,49.752,6.104,-43.648
1000,118,11263,71742,57.284,33.682,36.708,20.576,-3.027,-23.603
1000,119,4751,65230,65.856,52.067,34.136,31.72,17.93,-13.79
1000,120,6635,67114,121.184,33.276,35.731,85.453,-2.455,-87.909
1000,121,6077,66556,34.768,35.697,32.865,1.903,2.831,0.929
1000,122,15402,75881,49.03,39.354,33.969,15.061,5.385,-9.677
1000,123,17020,77499,60.4,38.718,43.121,17.278,-4.403,-21.681
1000,124,12238,72717,185.327,42.472,46.551,138.776,-4.079,-142.855
1000,125,13362,73841,37.785,30.498,43.292,-5.507,-12.794,-7.287
1000,126,2042,62521,21.725,24.9,22.028,-0.303,2.872,3.175
1000,127,21304,81783,66.489,38.494,44.765,21.725,-6.27,-27.995
1000,128,3618,64097,60.507,38.466,37.657,22.849,0.808,-22.041
1000,129,4904,65383,78.097,31.055,35.659,42.438,-4.604,-47.042
1000,130,12056,72535,47.393,21.825,47.18,0.212,-25.356,-25.568
1000,131,25354,85833,60.736,31.001,33.965,26.771,-2.964,-29.736
1000,132,8826,69305,104.954,41.618,45.161,59.794,-3.542,-63.336
1000,133,10158,70637,223.448,45.627,51.84,171.607,-6.214,-177.821
1000,134,7107,67586,50.127,15.924,29.359,20.768,-13.435,-34.203
1000,135,11725,72204,20.776,27.862,22.093,-1.317,5.769,7.086
1000,136,22108,82587,56.513,42.733,50.062,6.451,-7.329,-13.78
1000,137,7092,67571,14.729,30.064,26.535,-11.806,3.529,15.335
1000,138,18165,78644,37.304,45.649,44.022,-6.717,1.628,8.345
1000,139,8346,68825,122.655,58.787,52.56,70.096,6.228,-63.868
1000,140,8615,69094,47.975,42.364,47.065,0.91,-4.7,-5.61
1000,141,16224,76703,18.699,25.175,36.199,-17.5,-11.024,6.476
1000,142,1022,61501,83.601,41.736,47.986,35.615,-6.249,-41.865
1000,143,11154,71633,34.114,33.441,26.124,7.99,7.317,-0.674
1000,144,11161,71640,30.071,35.045,28.308,1.763,6.737,4.974
1000,145,1980,62459,29.1,30.284,39.629,-10.529,-9.344,1.184
1000,146,18383,78862,25.654,27.211,29.754,-4.1,-2.543,1.557
1000,147,2550,63029,129.169,44.013,44.887,84.282,-0.875,-85.156
1000,148,19255,79734,36.912,25.733,38.943,-2.031,-13.21,-11.179
1000,149,1719,62198,42.086,21.743,33.207,8.879,-11.464,-20.343
1000,150,14829,75308,36.825,21.777,28.137,8.689,-6.36,-15.049
1000,151,18301,78780,39.873,42.628,42.257,-2.384,0.371,2.755
